"Event","FrameOffset","Value","SourceCategory","SourceReference"
"000312","0x07F","00","recorder RX","RX 01 02 payload 0x7A"
"000312","0x080","00","recorder RX","RX 01 02 payload 0x7B"
"000312","0x081","00","recorder RX","RX 01 02 payload 0x7C"
"000312","0x082","00","recorder RX","RX 01 02 payload 0x7D"
"000312","0x083","00","recorder RX","RX 01 02 payload 0x7E"
"000312","0x084","00","recorder RX","RX 01 02 payload 0x7F"
"000312","0x085","00","recorder RX","RX 01 02 payload 0x80"
"000312","0x086","03","recorder RX","RX 01 02 payload 0x81"
"000312","0x087","34","recorder RX","RX 01 02 payload 0x82"
"000312","0x088","03","recorder RX","RX 01 02 payload 0x83"
"000312","0x089","34","recorder RX","RX 01 02 payload 0x84"
"000312","0x08A","28","recorder RX","RX 01 02 payload 0x85"
"000312","0x08B","FA","selected CCF","CCF 0x0231 transformed as (FE-value) mod 256"
"000312","0x08C","00","recorder RX","RX 01 02 payload 0x87"
"000312","0x08D","00","recorder RX","RX 01 02 payload 0x88"
"000312","0x08E","00","recorder RX","RX 01 02 payload 0x89"
"000312","0x08F","00","recorder RX","RX 01 02 payload 0x8A"
"000312","0x090","00","recorder RX","RX 01 02 payload 0x8B"
"000312","0x091","00","recorder RX","RX 01 02 payload 0x8C"
"000312","0x092","00","recorder RX","RX 01 02 payload 0x8D"
"000312","0x093","00","recorder RX","RX 01 02 payload 0x8E"
"000312","0x094","00","recorder RX","RX 01 02 payload 0x8F"
"000312","0x095","00","recorder RX","RX 01 02 payload 0x90"
"000312","0x096","00","recorder RX","RX 01 02 payload 0x91"
"000312","0x097","00","recorder RX","RX 01 02 payload 0x92"
"000312","0x098","00","recorder RX","RX 01 02 payload 0x93"
"000312","0x099","00","recorder RX","RX 01 02 payload 0x94"
"000312","0x09A","00","recorder RX","RX 01 02 payload 0x95"
"000312","0x09B","00","recorder RX","RX 01 02 payload 0x96"
"000312","0x09C","00","recorder RX","RX 01 02 payload 0x97"
"000312","0x09D","00","recorder RX","RX 01 02 payload 0x98"
"000312","0x09E","00","recorder RX","RX 01 02 payload 0x99"
"000312","0x09F","00","recorder RX","RX 01 02 payload 0x9A"
"000312","0x0A0","00","recorder RX","RX 01 02 payload 0x9B"
"000312","0x0A1","00","recorder RX","RX 01 02 payload 0x9C"
"000312","0x0A2","20","recorder RX","RX 01 02 payload 0x9D"
"000312","0x0A3","00","recorder RX","RX 01 02 payload 0x9E"
"000312","0x0A4","00","recorder RX","RX 01 02 payload 0x9F"
"000312","0x0A5","00","recorder RX","RX 01 02 payload 0xA0"
"000312","0x0A6","00","recorder RX","RX 01 02 payload 0xA1"
"000312","0x0A7","00","recorder RX","RX 01 02 payload 0xA2"
"000312","0x0A8","00","recorder RX","RX 01 02 payload 0xA3"
"000312","0x0A9","40","recorder RX","RX 01 02 payload 0xA4"
"000312","0x0AA","1F","recorder RX","RX 01 02 payload 0xA5"
"000312","0x0AB","00","recorder RX","RX 01 02 payload 0xA6"
"000312","0x0AC","00","recorder RX","RX 01 02 payload 0xA7"
"000312","0x0AD","00","recorder RX","RX 01 02 payload 0xA8"
"000312","0x0AE","30","recorder RX","RX 01 02 payload 0xA9"
"000312","0x0AF","30","recorder RX","RX 01 02 payload 0xAA"
"000312","0x0B0","00","recorder RX","RX 01 02 payload 0xAB"
"000312","0x0B1","00","recorder RX","RX 01 02 payload 0xAC"
"000312","0x0B2","00","recorder RX","RX 01 02 payload 0xAD"
"000312","0x0B3","00","recorder RX","RX 01 02 payload 0xAE"
"000312","0x0B4","80","recorder RX","RX 01 02 payload 0xAF"
"000312","0x0B5","00","recorder RX","RX 01 02 payload 0xB0"
"000312","0x0B6","14","recorder RX","RX 01 02 payload 0xB1"
"000312","0x0B7","78","recorder RX","RX 01 02 payload 0xB2"
"000312","0x0B8","02","recorder RX","RX 01 02 payload 0xB3"
"000312","0x0B9","00","recorder RX","RX 01 02 payload 0xB4"
"000312","0x0BA","64","recorder RX","RX 01 02 payload 0xB5"
"000312","0x0BB","07","recorder RX","RX 01 02 payload 0xB6"
"000312","0x0BC","08","recorder RX","RX 01 02 payload 0xB7"
"000312","0x0BD","03","selected CCF","CCF 0x0263 transformed as (03-value) mod 256"
"000312","0x0BE","05","recorder RX","RX 01 02 payload 0xB9"
"000312","0x0BF","00","recorder RX","RX 01 02 payload 0xBA"
"000312","0x0C0","00","recorder RX","RX 01 02 payload 0xBB"
"000312","0x0C1","00","recorder RX","RX 01 02 payload 0xBC"
"000312","0x0C2","00","recorder RX","RX 01 02 payload 0xBD"
"000312","0x0C3","00","recorder RX","RX 01 02 payload 0xBE"
"000312","0x0C4","00","recorder RX","RX 01 02 payload 0xBF"
"000312","0x0C5","00","recorder RX","RX 01 02 payload 0xC0"
"000312","0x0C6","00","recorder RX","RX 01 02 payload 0xC1"
"000312","0x0C7","00","recorder RX","RX 01 02 payload 0xC2"
"000312","0x0C8","00","recorder RX","RX 01 02 payload 0xC3"
"000312","0x0C9","00","recorder RX","RX 01 02 payload 0xC4"
"000312","0x0CA","00","recorder RX","RX 01 02 payload 0xC5"
"000312","0x0CB","00","recorder RX","RX 01 02 payload 0xC6"
"000312","0x0CC","00","recorder RX","RX 01 02 payload 0xC7"
"000312","0x0CD","00","recorder RX","RX 01 02 payload 0xC8"
"000312","0x0CE","00","recorder RX","RX 01 02 payload 0xC9"
"000312","0x0CF","00","recorder RX","RX 01 02 payload 0xCA"
"000312","0x0D0","00","recorder RX","RX 01 02 payload 0xCB"
"000312","0x0D1","00","recorder RX","RX 01 02 payload 0xCC"
"000312","0x0D2","00","recorder RX","RX 01 02 payload 0xCD"
"000312","0x0D3","00","recorder RX","RX 01 02 payload 0xCE"
"000312","0x0D4","00","recorder RX","RX 01 02 payload 0xCF"
"000312","0x0D5","00","recorder RX","RX 01 02 payload 0xD0"
"000312","0x0D6","00","recorder RX","RX 01 02 payload 0xD1"
"000312","0x0D7","00","recorder RX","RX 01 02 payload 0xD2"
"000312","0x0D8","00","recorder RX","RX 01 02 payload 0xD3"
"000312","0x0D9","00","recorder RX","RX 01 02 payload 0xD4"
"000312","0x0DA","00","recorder RX","RX 01 02 payload 0xD5"
"000312","0x0DB","00","recorder RX","RX 01 02 payload 0xD6"
"000312","0x0DC","00","recorder RX","RX 01 02 payload 0xD7"
"000312","0x0DD","00","recorder RX","RX 01 02 payload 0xD8"
"000312","0x0DE","00","recorder RX","RX 01 02 payload 0xD9"
"000312","0x0DF","00","recorder RX","RX 01 02 payload 0xDA"
"000312","0x0E0","00","recorder RX","RX 01 02 payload 0xDB"
"000312","0x0E1","00","recorder RX","RX 01 02 payload 0xDC"
"000312","0x0E2","00","recorder RX","RX 01 02 payload 0xDD"
"000312","0x0E3","00","recorder RX","RX 01 02 payload 0xDE"
"000312","0x0E4","00","recorder RX","RX 01 02 payload 0xDF"
"000312","0x0E5","00","recorder RX","RX 01 02 payload 0xE0"
"000312","0x0E6","00","recorder RX","RX 01 02 payload 0xE1"
"000312","0x0E7","00","recorder RX","RX 01 02 payload 0xE2"
"000312","0x0E8","00","recorder RX","RX 01 02 payload 0xE3"
"000312","0x0E9","00","recorder RX","RX 01 02 payload 0xE4"
"000312","0x0EA","00","recorder RX","RX 01 02 payload 0xE5"
"000312","0x0EB","00","recorder RX","RX 01 02 payload 0xE6"
"000312","0x0EC","00","recorder RX","RX 01 02 payload 0xE7"
"000312","0x0ED","00","recorder RX","RX 01 02 payload 0xE8"
"000312","0x0EE","00","recorder RX","RX 01 02 payload 0xE9"
"000312","0x0EF","00","recorder RX","RX 01 02 payload 0xEA"
"000312","0x0F0","00","recorder RX","RX 01 02 payload 0xEB"
"000312","0x0F1","00","recorder RX","RX 01 02 payload 0xEC"
"000312","0x0F2","00","recorder RX","RX 01 02 payload 0xED"
"000312","0x0F3","00","recorder RX","RX 01 02 payload 0xEE"
"000312","0x0F4","00","recorder RX","RX 01 02 payload 0xEF"
"000312","0x0F5","00","recorder RX","RX 01 02 payload 0xF0"
"000312","0x0F6","00","recorder RX","RX 01 02 payload 0xF1"
"000312","0x0F7","00","recorder RX","RX 01 02 payload 0xF2"
"000312","0x0F8","00","recorder RX","RX 01 02 payload 0xF3"
"000312","0x0F9","00","recorder RX","RX 01 02 payload 0xF4"
"000312","0x0FA","00","recorder RX","RX 01 02 payload 0xF5"
"000312","0x0FB","00","recorder RX","RX 01 02 payload 0xF6"
"000312","0x0FC","00","recorder RX","RX 01 02 payload 0xF7"
"000312","0x0FD","00","recorder RX","RX 01 02 payload 0xF8"
"000312","0x0FE","00","recorder RX","RX 01 02 payload 0xF9"
"000312","0x0FF","00","recorder RX","RX 01 02 payload 0xFA"
"000312","0x100","00","recorder RX","RX 01 02 payload 0xFB"
"000312","0x101","00","recorder RX","RX 01 02 payload 0xFC"
"000312","0x102","00","recorder RX","RX 01 02 payload 0xFD"
"000312","0x103","00","recorder RX","RX 01 02 payload 0xFE"
"000312","0x104","00","recorder RX","RX 01 04 payload 0x00"
"000312","0x105","00","recorder RX","RX 01 04 payload 0x01"
"000312","0x106","00","recorder RX","RX 01 04 payload 0x02"
"000312","0x107","00","recorder RX","RX 01 04 payload 0x03"
"000312","0x108","03","protocol constant","proven frame/header constant"
"000312","0x109","8E","calculated field/checksum","payload sum modulo 256"
"000312","0x10A","04","protocol constant","proven frame/header constant"
"000335","0x000","01","protocol constant","proven frame/header constant"
"000335","0x001","02","recorder RX","RX 01 04 frame offset 0x003"
"000335","0x002","00","protocol constant","proven frame/header constant"
"000335","0x003","02","recorder RX","RX 01 04 frame offset 0x003"
"000335","0x004","00","recorder RX","RX 01 04 frame offset 0x004"
"000335","0x005","01","recorder RX","RX 01 04 frame offset 0x005"
"000335","0x006","01","recorder RX","RX 01 04 frame offset 0x006"
"000335","0x007","FF","calculated field/checksum","generated payload length"
"000335","0x008","02","protocol constant","proven frame/header constant"
"000335","0x009","00","recorder RX","RX 01 04 payload 0x04"
"000335","0x00A","00","recorder RX","RX 01 04 payload 0x05"
"000335","0x00B","00","recorder RX","RX 01 04 payload 0x06"
"000335","0x00C","00","recorder RX","RX 01 04 payload 0x07"
"000335","0x00D","00","recorder RX","RX 01 04 payload 0x08"
"000335","0x00E","00","recorder RX","RX 01 04 payload 0x09"
"000335","0x00F","00","recorder RX","RX 01 04 payload 0x0A"
"000335","0x010","00","recorder RX","RX 01 04 payload 0x0B"
"000335","0x011","00","recorder RX","RX 01 04 payload 0x0C"
"000335","0x012","00","recorder RX","RX 01 04 payload 0x0D"
"000335","0x013","00","recorder RX","RX 01 04 payload 0x0E"
"000335","0x014","00","recorder RX","RX 01 04 payload 0x0F"
"000335","0x015","00","recorder RX","RX 01 04 payload 0x10"
"000335","0x016","00","recorder RX","RX 01 04 payload 0x11"
"000335","0x017","00","recorder RX","RX 01 04 payload 0x12"
"000335","0x018","00","recorder RX","RX 01 04 payload 0x13"
"000335","0x019","00","recorder RX","RX 01 04 payload 0x14"
"000335","0x01A","00","recorder RX","RX 01 04 payload 0x15"
"000335","0x01B","00","recorder RX","RX 01 04 payload 0x16"
"000335","0x01C","00","recorder RX","RX 01 04 payload 0x17"
"000335","0x01D","00","recorder RX","RX 01 04 payload 0x18"
"000335","0x01E","00","recorder RX","RX 01 04 payload 0x19"
"000335","0x01F","00","recorder RX","RX 01 04 payload 0x1A"
"000335","0x020","00","recorder RX","RX 01 04 payload 0x1B"
"000335","0x021","00","recorder RX","RX 01 04 payload 0x1C"
"000335","0x022","00","recorder RX","RX 01 04 payload 0x1D"
"000335","0x023","00","recorder RX","RX 01 04 payload 0x1E"
"000335","0x024","00","recorder RX","RX 01 04 payload 0x1F"
"000335","0x025","00","recorder RX","RX 01 04 payload 0x20"
"000335","0x026","00","recorder RX","RX 01 04 payload 0x21"
"000335","0x027","00","recorder RX","RX 01 04 payload 0x22"
"000335","0x028","00","recorder RX","RX 01 04 payload 0x23"
